序号;文件序号;文件名称;名称;位置;合同号;软件版本;修改日期;匹配;大小;类型;创建日期;最后访问日期;文件扩展名;行;文本
262;1;D:\24.工程设计备份\H河南\2007年度\SZ070252郑州220kV常庄变\110921服务记录\后台\20110921郑州常庄变设计更改单.xls;20110921郑州常庄变设计更改单.xls;D:\24.工程设计备份\H河南\2007年度\SZ070252郑州220kV常庄变\110921服务记录\后台\;SZ070252;;2016/11/28 11:55;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:08;2017/8/29 4:08;XLS;17;Unix机器：PRS-700U-标准S(河南常庄变P3)-S-V1.40-20110921.zip
263;2;D:\24.工程设计备份\H河南\2007年度\SZ070252郑州220kV常庄变\110921服务记录\后台\20110921郑州常庄变设计更改单.xls;20110921郑州常庄变设计更改单.xls;D:\24.工程设计备份\H河南\2007年度\SZ070252郑州220kV常庄变\110921服务记录\后台\;SZ070252;;2016/11/28 11:55;3;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 4:08;2017/8/29 4:08;XLS;23;原版本号 PRS-700U-标准S(河南常庄变P2)-S-V1.40-20100113.zip 新版本号 PRS-700U-标准S(河南常庄变P3)-S-V1.40-20110921.zip
409;1;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\110419服务记录\后台\20110419.朝阳220kV喀左变设计更改单.xls;20110419.朝阳220kV喀左变设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\110419服务记录\后台\;SZ070982;;2016/11/28 14:22;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;18;"Unix服务器：PRS-700U-标准S-(P1)-V1.40-20101228"" 校验码"
410;2;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\110419服务记录\后台\20110419.朝阳220kV喀左变设计更改单.xls;20110419.朝阳220kV喀左变设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\110419服务记录\后台\;SZ070982;;2016/11/28 14:22;2;56 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;22;原版本号 PRS700UV14-20080709 新版本号 PRS-700U-标准S-(P1)-V1.40-20101228
411;1;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\120827服务记录\后台\120829辽宁朝阳220kV喀左变监控系统设计更改单.xls;120829辽宁朝阳220kV喀左变监控系统设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\120827服务记录\后台\;SZ070982;;2016/11/28 14:22;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;30;"原版本号 ""后台维护机：PRS-700U-标准S-(P1)-V1.40-20101228"
412;2;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\120827服务记录\后台\120829辽宁朝阳220kV喀左变监控系统设计更改单.xls;120829辽宁朝阳220kV喀左变监控系统设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ070982-1朝阳220kV喀左变\120827服务记录\后台\;SZ070982;;2016/11/28 14:22;2;113 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;31;"791A：ISA301C.v350.喀左变P5"" 新版本号 ""后台维护机：PRS-700U-标准(辽宁朝阳220kV柳城变维护机程序P2)-S-V1.40-120827"
413;1;D:\24.工程设计备份\L辽宁\2007年度\SZ071304-1营口220kV官屯变\130117服务记录\通讯\设计更改单.xls;设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ071304-1营口220kV官屯变\130117服务记录\通讯\;SZ071304;;2016/11/28 14:22;2;116 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;27;"PRS700U:PRS-700U-标准-S-V1.40"" 新版本号 ""PRS791AH:ISA-301C-官屯变P4-M-v3.10-20130118"
414;2;D:\24.工程设计备份\L辽宁\2007年度\SZ071304-1营口220kV官屯变\130117服务记录\通讯\设计更改单.xls;设计更改单.xls;D:\24.工程设计备份\L辽宁\2007年度\SZ071304-1营口220kV官屯变\130117服务记录\通讯\;SZ071304;;2016/11/28 14:22;2;116 KB;Microsoft Excel 97-2003 工作表;2017/8/29 7:13;2017/8/29 7:13;XLS;29;"PRS700U:PRS-700U-标准(辽宁朝阳220kV柳城变维护机程序P2)-S-V1.40-120827"""
16;1;D:\24.工程设计备份\B北京\2008年度\SZ080169北京杏石口变\100528服务记录\后台\100528.北京110kV杏石口变工程设计更改单.xls;100528.北京110kV杏石口变工程设计更改单.xls;D:\24.工程设计备份\B北京\2008年度\SZ080169北京杏石口变\100528服务记录\后台\;SZ080169;;2016/11/24 15:56;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/29 3:34;2017/8/29 3:34;XLS;15;安装包：PRS-700U-北京S(杏石口变P3)-S-V1.41-20100528.zip 2）Windows机器： 路径：\\dazx\GC\通讯后台\后台软件\PRS700U后台监控程序\特殊程序\北京\杏石口\20100528 安装包：ISA-300U-北京(杏石口变P3)-S-V1.41-20100528.exe
17;2;D:\24.工程设计备份\B北京\2008年度\SZ080169北京杏石口变\100528服务记录\后台\100528.北京110kV杏石口变工程设计更改单.xls;100528.北京110kV杏石口变工程设计更改单.xls;D:\24.工程设计备份\B北京\2008年度\SZ080169北京杏石口变\100528服务记录\后台\;SZ080169;;2016/11/24 15:56;3;80 KB;Microsoft Excel 97-2003 工作表;2017/8/29 3:34;2017/8/29 3:34;XLS;20;原版本号 PRS-700U-北京S(杏石口变P2)-S-V1.41-20090618 新版本号 PRS-700U-北京S(杏石口变P3)-S-V1.41-20100528.zip
